,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38,0.0005996227264404297,0.000489590099492047,0.0003997802734375,0.0004896288395761052,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7142857142857143,0.9523809523809523,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.09035079029052509,37
41,0.00039973258972167967,0.0004895704449951435,0.00059967041015625,0.0004896288627950879,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7142857142857143,0.9523809523809523,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.09035079029052509,37
12,0.0011994361877441407,0.00040009031349195985,0.000599527359008789,0.0004895121317013901,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6952380952380952,0.0233284737407922,41
27,0.0,0.0,0.0,0.0,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6952380952380952,0.0233284737407922,41
24,0.0,0.0,0.0,0.0,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6952380952380952,0.0233284737407922,41
18,0.0005996227264404297,0.0004895899601671047,0.0005999088287353515,0.000489823700945361,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6952380952380952,0.0233284737407922,41
14,0.0007994651794433593,0.00039973271770491175,0.000599527359008789,0.000489512201374942,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
28,0.003332185745239258,0.006159262153116287,0.0,0.0,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
35,0.0007995128631591797,0.00039975647068324946,0.00039987564086914064,0.00048974566356235,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
32,0.0007995128631591797,0.00039975647068324946,0.0005995750427246094,0.0007993936592027415,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
29,0.0007994174957275391,0.00039970887229933425,0.0003998279571533203,0.0004896872921989839,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
26,0.0,0.0,0.0,0.0,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
25,0.0,0.0,0.0,0.0,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48571428571428577,0.18662778992633738,45
49,0.000999307632446289,4.422005889652111e-07,0.0007993698120117188,0.0003996851051146208,0.1,,,10,"{'C': 0.1, 'gamma': 10}",0.6190476190476191,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.44761904761904764,0.13997084244475305,52
